City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
264,Suvorov,100,RU,1713758497,80,54.1223,36.4966,47.7,12.08
265,Sungailiat,30,ID,1713758499,75,-1.85,106.1333,86.16,4.47
266,Guangyuan,100,CN,1713758500,69,32.442,105.823,68.43,3.91
267,Nemuro,95,JP,1713758501,92,43.3236,145.575,36.7,11.34
268,Walvis Bay,0,NA,1713758502,56,-22.9575,14.5053,66.92,9.13
269,Syanno,91,BY,1713758503,95,54.8106,29.7069,48.18,9.78
270,Adrar,0,MR,1713758504,23,20.5022,-10.0711,71.64,10.04
271,Turpan,0,CN,1713758505,12,42.9333,89.1667,82.69,12.21
272,Gornyye Klyuchi,100,RU,1713758506,45,45.25,133.5,65.53,3.44
273,Akureyri,90,IS,1713758507,64,65.6835,-18.0878,36.23,9.57
274,Dudinka,94,RU,1713758508,90,69.4058,86.1778,2.57,2.1
275,Coquimbo,100,CL,1713758508,78,-29.9533,-71.3436,61.72,2.98
276,Nuriootpa,0,AU,1713758509,15,-34.4833,139.0,77.02,8.48
277,Strezhevoy,85,RU,1713758510,81,60.7333,77.5889,26.02,14.72
278,Kosan,88,KP,1713758511,61,38.8558,127.4181,60.08,7.76
279,Oodweyne,100,SO,1713758512,68,9.4092,45.064,75.27,8.79
280,Khedbrahma,0,IN,1713758513,36,24.0333,73.05,86.11,6.46
281,Ulan-Ude,98,RU,1713758514,49,51.8261,107.6098,43.65,12.15
282,Gopālpur,77,IN,1713758515,52,19.2667,84.9167,91.71,8.57
283,Marau,0,BR,1713758516,87,-28.4492,-52.2,56.1,3.36
284,Kāzerūn,100,IR,1713758517,30,29.6195,51.6541,74.68,3.6
285,Edgewater,74,US,1713758518,83,28.9889,-80.9023,72.05,9.04
286,Sydney,45,AU,1713758242,57,-33.8679,151.2073,69.6,5.53
287,Rio Grande,98,BR,1713758519,86,-32.035,-52.0986,67.17,5.39
288,Okhotsk,100,RU,1713758521,87,59.3833,143.3,32.99,6.08
289,Olovyannaya,100,RU,1713758522,99,50.95,115.5667,35.98,16.91
290,Vuktyl,100,RU,1713758523,57,63.8567,57.3094,17.26,11.25
291,Vorgashor,98,RU,1713758524,93,67.5833,63.95,5.94,10.42
292,Yemva,99,RU,1713758525,75,62.59,50.8594,31.62,6.53
293,São Félix do Xingu,98,BR,1713758526,98,-6.6447,-51.995,72.72,1.5
294,Taroa,100,MH,1713758527,79,8.7058,171.2275,82.67,17.6
295,Korla,0,CN,1713758527,19,41.7597,86.1469,73.15,5.03
296,Fortuna,100,US,1713758529,97,40.5982,-124.1573,44.82,4.23
297,Rome,46,US,1713758530,85,43.2128,-75.4557,33.6,5.57
298,Whittlesea,100,ZA,1713758531,38,-32.1759,26.8244,65.82,4.94
299,Smithers,98,CA,1713758408,72,54.7804,-127.1743,41.49,5.95
300,Minas de Marcona,38,PE,1713758533,84,-15.2119,-75.1103,62.04,7.9
301,Papao,6,PF,1713758534,74,-17.75,-149.55,83.16,2.46
302,Labytnangi,18,RU,1713758535,80,66.6572,66.4183,7.7,7.02
303,Tsiombe,0,MG,1713758536,90,-25.3,45.4833,65.61,1.41
304,Egilsstadir,82,IS,1713758537,53,65.2653,-14.3948,38.57,5.5
